Date,Condition,Next,Prev,7day
6/1/2021,Cloudy,Cloudy,Cloudy,Sunny
6/2/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/3/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/4/2021,Cloudy,Sunny,Cloudy,Cloudy
6/5/2021,Sunny,Sunny,Cloudy,Cloudy
6/6/2021,Sunny,Sunny,Sunny,Cloudy
6/7/2021,Sunny,Cloudy,Sunny,Cloudy
6/8/2021,Cloudy,Cloudy,Sunny,Cloudy
6/9/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/10/2021,Cloudy,Cloudy,Cloudy,Sunny
6/11/2021,Cloudy,Cloudy,Cloudy,Sunny
6/12/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/13/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/14/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/15/2021,Cloudy,Sunny,Cloudy,Cloudy
6/16/2021,Sunny,Sunny,Cloudy,Rainy
6/17/2021,Sunny,Cloudy,Sunny,Sunny
6/18/2021,Cloudy,Cloudy,Sunny,Sunny
6/19/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/20/2021,Cloudy,Cloudy,Cloudy,Cloudy
6/21/2021,Cloudy,Rainy,Cloudy,Cloudy
6/22/2021,Rainy,Sunny,Cloudy,Sunny
6/23/2021,Sunny,Sunny,Rainy,Sunny
6/24/2021,Sunny,Cloudy,Sunny,Sunny
6/25/2021,Cloudy,Cloudy,Sunny,Rainy
6/26/2021,Cloudy,Cloudy,Cloudy,Rainy
6/27/2021,Cloudy,Sunny,Cloudy,Cloudy
6/28/2021,Sunny,Sunny,Cloudy,Cloudy
6/29/2021,Sunny,Sunny,Sunny,Cloudy
6/30/2021,Sunny,Rainy,Sunny,Cloudy
7/1/2021,Rainy,Rainy,Sunny,Sunny
7/2/2021,Rainy,Cloudy,Rainy,Cloudy
7/3/2021,Cloudy,Cloudy,Rainy,Cloudy
7/4/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/5/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/6/2021,Cloudy,Sunny,Cloudy,Cloudy
7/7/2021,Sunny,Cloudy,Cloudy,Cloudy
7/8/2021,Cloudy,Cloudy,Sunny,Cloudy
7/9/2021,Cloudy,Cloudy,Cloudy,Sunny
7/10/2021,Cloudy,Cloudy,Cloudy,Sunny
7/11/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/12/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/13/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/14/2021,Cloudy,Sunny,Cloudy,Cloudy
7/15/2021,Sunny,Sunny,Cloudy,Cloudy
7/16/2021,Sunny,Cloudy,Sunny,Cloudy
7/17/2021,Cloudy,Cloudy,Sunny,Sunny
7/18/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/19/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/20/2021,Cloudy,Cloudy,Cloudy,Cloudy
7/21/2021,Cloudy,Cloudy,Cloudy,Sunny
7/22/2021,Cloudy,Sunny,Cloudy,Sunny
7/23/2021,Sunny,Cloudy,Cloudy,Cloudy
7/24/2021,Cloudy,Cloudy,Sunny,Sunny
7/25/2021,Cloudy,Cloudy,Cloudy,Sunny
7/26/2021,Cloudy,Sunny,Cloudy,Cloudy
7/27/2021,Sunny,Sunny,Cloudy,Sunny
7/28/2021,Sunny,Cloudy,Sunny,Cloudy
7/29/2021,Cloudy,Sunny,Sunny,Cloudy
7/30/2021,Sunny,Sunny,Cloudy,Cloudy
7/31/2021,Sunny,Cloudy,Sunny,Sunny
8/1/2021,Cloudy,Sunny,Sunny,Cloudy
8/2/2021,Sunny,Cloudy,Cloudy,Rainy
8/3/2021,Cloudy,Cloudy,Sunny,Cloudy
8/4/2021,Cloudy,Cloudy,Cloudy,Cloudy
8/5/2021,Cloudy,Sunny,Cloudy,Cloudy
8/6/2021,Sunny,Cloudy,Cloudy,Sunny
8/7/2021,Cloudy,Rainy,Sunny,Sunny
8/8/2021,Rainy,Cloudy,Cloudy,Cloudy
8/9/2021,Cloudy,Cloudy,Rainy,Cloudy
8/10/2021,Cloudy,Cloudy,Cloudy,Cloudy
8/11/2021,Cloudy,Sunny,Cloudy,Cloudy
8/12/2021,Sunny,Sunny,Cloudy,Cloudy
8/13/2021,Sunny,Cloudy,Sunny,Cloudy
8/14/2021,Cloudy,Cloudy,Sunny,Cloudy
8/15/2021,Cloudy,Cloudy,Cloudy,Cloudy
8/16/2021,Cloudy,Cloudy,Cloudy,Rainy
8/17/2021,Cloudy,Cloudy,Cloudy,Rainy
8/18/2021,Cloudy,Cloudy,Cloudy,Sunny
8/19/2021,Cloudy,Cloudy,Cloudy,Sunny
8/20/2021,Cloudy,Cloudy,Cloudy,Sunny
8/21/2021,Cloudy,Rainy,Cloudy,Rainy
8/22/2021,Rainy,Rainy,Cloudy,Cloudy
8/23/2021,Rainy,Sunny,Rainy,Cloudy
8/24/2021,Sunny,Sunny,Rainy,Cloudy
8/25/2021,Sunny,Sunny,Sunny,Cloudy
8/26/2021,Sunny,Rainy,Sunny,Cloudy
8/27/2021,Rainy,Cloudy,Sunny,Cloudy
8/28/2021,Cloudy,Cloudy,Rainy,Rainy
8/29/2021,Cloudy,Cloudy,Cloudy,Cloudy
8/30/2021,Cloudy,Cloudy,Cloudy,Rainy
8/31/2021,Cloudy,Rainy,Cloudy,Rainy
